Date,TLT,GLD,SPY,VIX
1990-08-23,,,,36.4700012207
1990-08-24,,,,33.9300003052
1990-08-27,,,,29.6299991608
1990-08-28,,,,29.1200008392
1990-08-29,,,,27.3799991608
1990-08-30,,,,29.8899993896
1990-08-31,,,,29.8999996185
1990-09-04,,,,29.5799999237
1990-09-05,,,,28.5200004578
1990-09-06,,,,30.1900005341
1990-09-07,,,,28.7299995422
1990-09-10,,,,29.3400001526
1990-09-11,,,,28.3799991608
1990-09-12,,,,28.1200008392
1990-09-13,,,,29.3299999237
1990-09-14,,,,30.5599994659
1990-09-17,,,,29.5499992371
1990-09-18,,,,28.8199996948
1990-09-19,,,,27.8799991608
1990-09-20,,,,28.6599998474
1990-09-21,,,,30.0400009155
1990-09-24,,,,30.5599994659
1990-09-25,,,,28.8099994659
1990-09-26,,,,28.1900005341
1990-09-27,,,,28.6700000763
1990-09-28,,,,29.1100006104
1990-10-01,,,,28.0599994659
1990-10-02,,,,27.2800006866
1990-10-03,,,,27.8999996185
1990-10-04,,,,27.5100002289
1990-10-05,,,,27.8500003815
1990-10-08,,,,28.0400009155
1990-10-09,,,,30.7099990845
1990-10-10,,,,31.1900005341
1990-10-11,,,,33.9799995422
1990-10-12,,,,31.9400005341
1990-10-15,,,,31.6399993896
1990-10-16,,,,31.4500007629
1990-10-17,,,,31.3700008392
1990-10-18,,,,29.6000003815
1990-10-19,,,,27.8600006104
1990-10-22,,,,27.2700004578
1990-10-23,,,,27.5699996948
1990-10-24,,,,28.2800006866
1990-10-25,,,,29.0400009155
1990-10-26,,,,30.7500000000
1990-10-29,,,,31.5400009155
1990-10-30,,,,30.5200004578
1990-10-31,,,,30.0400009155
1990-11-01,,,,30.2500000000
1990-11-02,,,,30.0300006866
1990-11-05,,,,29.8500003815
1990-11-06,,,,29.1100006104
1990-11-07,,,,30.8700008392
1990-11-08,,,,30.7900009155
1990-11-09,,,,26.9599990845
1990-11-12,,,,25.6000003815
1990-11-13,,,,24.5799999237
1990-11-14,,,,22.8899993896
1990-11-15,,,,22.5699996948
1990-11-16,,,,21.3400001526
1990-11-19,,,,20.9500007629
1990-11-20,,,,20.0900001526
1990-11-21,,,,21.0900001526
1990-11-23,,,,20.9799995422
1990-11-26,,,,22.7600002289
1990-11-27,,,,22.8600006104
1990-11-28,,,,22.9599990845
1990-11-29,,,,23.9099998474
1990-11-30,,,,22.1599998474
1990-12-03,,,,22.2900009155
1990-12-04,,,,22.0300006866
1990-12-05,,,,20.9400005341
1990-12-06,,,,22.6200008392
